"((-14.0, 1.27407867, -14.0, -2.41497847, 0.41635975, -14.0, -4.89696207, -1.81007962, -14.0, -14.0, -14.0, -1.61658246, 2.03559713, -14.0, -14.0, -14.0, -1.1931438, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -3.00080923, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -1.77608327, -14.0, -14.0, -14.0, -3.44166205, -0.85705905, -14.0, -0.57744971, -14.0, -14.0, -7.14440252, -14.0, -14.0, -14.0, 2.21678257), 'HF')",7
"((-3.352898305, -14.0, 2.009601765, 1.413607365, 0.233848975, -3.153805515, -2.128834915, 2.305506175, -0.600514515, -1.676154005, 3.639986665, 0.029525935, -1.529830575, -3.125965825, -4.741108695, -14.0, -2.557846785, -0.772895185, -14.0, -14.0, -14.0, -4.371772875, -14.0, 2.398368145, -1.624821035, -1.104228875, -4.498193365, 0.249345855, -3.481364375, 0.749616805, -14.0, -2.813216985, -2.761705225, -14.0, -3.706141515, -0.696655165, 0.034015225, -14.0, -4.504775625, -3.215002425, -4.287726425, -1.482864955, 0.441064135, -6.316826725, -3.321726385, 2.545352785), 'HF')",92
"((-0.462648775, -14.0, 1.731150595, -0.833296685, -0.019080905, -2.971604385, -1.910084675, 1.876895745, -0.323699015, -1.447371035, 3.442837965, 0.312437055, -0.773207765, -14.0, -14.0, -14.0, -3.756284395, -0.433439725, -14.0, -4.158699415, -14.0, -14.0, -14.0, 2.361503075, -0.891255575, -0.802530395, -4.375604365, -4.158024995, -4.706571385, -0.789603085, -14.0, -1.849199855, -14.0, -14.0, -4.691182705, -1.432810195, -1.122137875, -14.0, -14.0, -14.0, -14.0, -0.341268795, 1.421877395, -5.282880485, -14.0, 2.990418635), 'HF')",5
"((-3.641079825, -14.0, 1.158305295, -1.998784895, -0.582114515, -4.305076185, -3.237704045, 0.738682285, -2.308822655, -2.874402915, 2.842528035, -0.727219485, -1.412284425, -14.0, -14.0, -5.979166145, -14.0, -3.096164355, -14.0, -14.0, -14.0, -3.863737925, -14.0, 0.159297025, -3.371620885, -1.775460725, -5.590126175, -1.053661745, -14.0, -6.531527475, -14.0, -0.968203325, -14.0, -14.0, -5.923828575, -4.635209375, -1.103674545, -3.771768315, -2.766240785, -5.944973335, -5.733352665, -1.859883655, -0.672498455, -10.02352869, -14.0, 2.653992385), 'PS')",1948
"((-14.0, 2.630802583, -14.0, -2.679737408, -1.697607048, -14.0, -14.0, 0.629119752, -14.0, -4.295436008, -14.0, 1.605281173, 1.497837833, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -2.972461318, -0.490183318, -14.0, -14.0, -14.0, -1.484809748, -4.570198038, -1.325738948, -14.0, -14.0, -6.561938328, -14.0, -1.257678908, -14.0, -2.580272428, -14.0, -1.367346908, -14.0, -14.0, -14.0, -14.0, 4.281024903), 'PS')",1556
"((-14.0, -5.23922349, -14.0, -14.0, 0.1723325, -14.0, -3.23891649, -2.66731757, -1.30707575, -6.10723054, -14.0, 2.06549649, -0.24781572, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -5.23992966, 0.70416215, -14.0, -0.6712019, -14.0, -14.0, -14.0, -2.99607028, -14.0, -2.10723012, -4.56825163, -14.0, -14.0, -14.0, -0.2486501, -14.0, -3.98575575, -14.0, -14.0, -14.0, -14.0, -8.98168387, -2.63195745, 2.18354772), 'PS')",1465
"((-4.274133673, -14.0, -2.365332583, -1.051420763, -0.142436892, -14.0, -2.370411763, -1.004580933, 0.527565638, -2.659903403, 1.925263978, -0.106656273, -0.930792042, -4.379263013, -14.0, -5.799541313, -14.0, -0.375107543, -14.0, -14.0, -14.0, -14.0, -14.0, 1.015977808, -3.179851783, -1.457099113, -4.517579583, -4.255341853, -14.0, -2.473150533, -5.932585503, -1.411956673, -14.0, -14.0, -4.970790223, -3.646107893, -0.413621163, -3.943402503, -2.687207453, -14.0, -3.605483353, -1.240110403, 1.741270078, -9.230120773, -3.702862773, 1.968014728), 'HF')",8
"((-4.422635308, -14.0, -14.0, -14.0, -0.198853347, -14.0, -5.492917318, -3.082136028, -3.093207278, -3.456270288, -14.0, 1.343150193, 0.432186993, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -5.419461568, -14.0, -14.0, -14.0, 0.455814683, -5.258205218, -1.593726008, -14.0, -14.0, -14.0, 0.628815253, -14.0, -1.667648138, -14.0, -14.0, -14.0, -14.0, -0.569991747, -14.0, -4.505712418, -14.0, -14.0, -14.0, -14.0, -4.023417778, -4.527317398, 2.436493233), 'HF')",3
"((-14.0, 0.675026133, -4.962823448, -4.243825658, 0.016289852, -14.0, -8.472253538, -0.803981887, -2.944305038, -5.654760128, -1.815948858, -1.171063198, -2.232696058, -14.0, -14.0, -14.0, -14.0, -4.054427828, -14.0, -5.328230348, -14.0, -14.0, -14.0, -0.831750318, -2.844107078, -1.939668048, -14.0, -7.333188388, -14.0, -8.668750488, -4.957419608, -1.183759548, -14.0, -14.0, -8.354375048, -5.285483228, -1.027251648, -14.0, -6.143904868, -14.0, -6.513968938, -5.407669718, -4.142740918, -14.0, -3.700203978, 2.194721343), 'HF')",4
"((-14.0, -14.0, -4.652498313, -0.598756252, -0.284431802, -3.106581693, -4.415464783, 0.377688688, -3.839044703, -2.006306343, 2.173405938, 0.764223188, -1.197041443, -14.0, -14.0, -14.0, -2.850917513, -2.082322823, -14.0, -14.0, -14.0, -14.0, -14.0, 0.535868198, -2.241182783, -3.163867653, -14.0, -2.954716653, -14.0, -0.206403672, -14.0, -1.845027933, -2.716436533, -14.0, -5.472335313, -4.717178773, -0.374600453, -14.0, -2.983317223, -14.0, -4.077971353, -1.495272483, -1.128033113, -6.400289863, -2.144832883, 2.504060188), 'HF')",3
